,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
1274,610052,Oreti Beach,2,580,502,Rural (Incl.some Off Shore Islands),Rural area,0.3448275862068966,True
1426,611900,Tisbury,1,290,24,Invercargill,Main urban area,0.3448275862068966,True
1427,585309,Ross,1,290,501,Rural Centre,Rural area,0.3448275862068966,True
518,567800,Heretaunga-Silverstream,13,3760,17,Upper Hutt Zone,Main urban area,0.3457446808510638,True
662,588700,Bishopdale,9,2600,22,Christchurch,Main urban area,0.34615384615384615,True
580,513013,McLaren Park,11,3170,3,Western Auckland Zone,Main urban area,0.3470031545741325,True
1127,561813,Massey University,3,860,16,Palmerston North,Main urban area,0.3488372093023256,True
548,603930,Brockville,12,3430,23,Dunedin,Main urban area,0.3498542274052478,True
547,611601,Heidelberg,12,3430,24,Invercargill,Main urban area,0.3498542274052478,True
1273,604221,Corstorphine West,2,570,23,Dunedin,Main urban area,0.3508771929824561,True
1272,612500,Tuatapere,2,570,501,Rural Centre,Rural area,0.3508771929824561,True
379,523113,Greenmount,18,5130,5,Southern Auckland Zone,Main urban area,0.3508771929824561,True
764,551900,Kawaroa,7,1990,14,New Plymouth,Main urban area,0.35175879396984927,True
320,573400,Mt Victoria West,21,5970,20,Wellington Zone,Main urban area,0.35175879396984927,True
827,501807,Ngunguru,6,1700,302,Ngunguru,Minor urban area,0.35294117647058826,True
1126,581832,Kaiteriteri,3,850,502,Rural (Incl.some Off Shore Islands),Rural area,0.35294117647058826,True
517,570600,Titahi Bay South,13,3680,19,Porirua Zone,Main urban area,0.3532608695652174,True
619,500802,Hokianga South,10,2830,502,Rural (Incl.some Off Shore Islands),Rural area,0.35335689045936397,True
464,516002,Remuera South,15,4240,4,Central Auckland Zone,Main urban area,0.3537735849056604,True
618,524404,Favona North,10,2820,5,Southern Auckland Zone,Main urban area,0.3546099290780142,True
763,612740,Fairfax,7,1970,502,Rural (Incl.some Off Shore Islands),Rural area,0.3553299492385787,True
438,505500,Warkworth,16,4490,211,Warkworth,Minor urban area,0.35634743875278396,True
1425,502500,Western Hills,1,280,1,Whangarei,Main urban area,0.35714285714285715,True
1424,585505,Waiau,1,280,501,Rural Centre,Rural area,0.35714285714285715,True
579,585400,Hokitika Urban,11,3080,276,Hokitika,Minor urban area,0.35714285714285715,True
1124,601200,Palmerston,3,840,501,Rural Centre,Rural area,0.35714285714285715,True
1125,596901,Akaroa Harbour,3,840,502,Rural (Incl.some Off Shore Islands),Rural area,0.35714285714285715,True
413,508320,Glenfield North,17,4750,2,Northern Auckland Zone,Main urban area,0.35789473684210527,True
578,506661,Cape Rodney South,11,3070,502,Rural (Incl.some Off Shore Islands),Rural area,0.3583061889250814,True
437,563101,Hokowhitu West,16,4460,16,Palmerston North,Main urban area,0.35874439461883406,True
378,508210,Kaipatiki,18,5010,2,Northern Auckland Zone,Main urban area,0.3592814371257485,True
826,505021,Mangawhai,6,1670,502,Rural (Incl.some Off Shore Islands),Rural area,0.3592814371257485,True
905,523403,Wymondley,5,1390,5,Southern Auckland Zone,Main urban area,0.3597122302158274,True
1012,546100,Westshore,4,1110,12,Napier Zone,Main urban area,0.36036036036036034,True
617,538820,Tikitere,10,2770,502,Rural (Incl.some Off Shore Islands),Rural area,0.36101083032490977,True
259,524303,Kohuora,24,6630,5,Southern Auckland Zone,Main urban area,0.36199095022624433,True
436,528601,Dinsdale North,16,4420,6,Hamilton Zone,Main urban area,0.36199095022624433,True
1011,531731,Waipa Valley,4,1100,502,Rural (Incl.some Off Shore Islands),Rural area,0.36363636363636365,True
435,573200,Aro Street-Nairn Street,16,4390,20,Wellington Zone,Main urban area,0.36446469248291574,True
616,588300,Casebrook,10,2730,22,Christchurch,Main urban area,0.3663003663003663,True
762,605400,St Kilda West,7,1910,23,Dunedin,Main urban area,0.36649214659685864,True
434,597812,Allenton East,16,4360,112,Ashburton,Secondary urban area,0.3669724770642202,True
546,594300,Opawa,12,3250,22,Christchurch,Main urban area,0.3692307692307692,True
377,518702,Hillsborough East,18,4870,4,Central Auckland Zone,Main urban area,0.36960985626283366,True
1423,584939,Lake Brunner,1,270,502,Rural (Incl.some Off Shore Islands),Rural area,0.3703703703703704,True
1271,521302,Runciman,2,540,5,Southern Auckland Zone,Main urban area,0.3703703703703704,True
494,537100,Bellevue,14,3760,9,Tauranga,Main urban area,0.37234042553191493,True
319,520402,Hamlin,21,5620,4,Central Auckland Zone,Main urban area,0.3736654804270463,True
335,587500,Hornby South,20,5350,22,Christchurch,Main urban area,0.3738317757009346,True
615,568702,Waiwhetu South,10,2670,18,Lower Hutt Zone,Main urban area,0.37453183520599254,True
1123,506655,Muriwai Valley,3,800,502,Rural (Incl.some Off Shore Islands),Rural area,0.375,True
577,597850,Hampstead,11,2930,112,Ashburton,Secondary urban area,0.37542662116040953,True
761,570500,Onepoto,7,1860,19,Porirua Zone,Main urban area,0.3763440860215054,True
1270,581843,Murchison,2,530,501,Rural Centre,Rural area,0.37735849056603776,True
544,538501,Te Puke West,12,3180,235,Te Puke Community,Minor urban area,0.37735849056603776,True
545,535360,Aotea,12,3180,102,Tokoroa,Secondary urban area,0.37735849056603776,True
358,579700,Carterton,19,5030,264,Carterton,Minor urban area,0.37773359840954274,True
576,587812,Broomfield,11,2900,22,Christchurch,Main urban area,0.3793103448275862,True
1121,542100,Taneatua,3,790,501,Rural Centre,Rural area,0.37974683544303794,True
1122,501000,Russell,3,790,501,Rural Centre,Rural area,0.37974683544303794,True
614,543301,East Cape,10,2630,502,Rural (Incl.some Off Shore Islands),Rural area,0.38022813688212925,True
760,597600,Methven,7,1830,308,Methven,Minor urban area,0.3825136612021858,True
661,504100,Onerahi,9,2350,1,Whangarei,Main urban area,0.3829787234042553,True
216,514402,Glenavon,27,7040,4,Central Auckland Zone,Main urban area,0.3835227272727273,True
357,511401,Fruitvale,19,4950,3,Western Auckland Zone,Main urban area,0.3838383838383838,True
1269,580200,Havelock,2,520,501,Rural Centre,Rural area,0.38461538461538464,True
1422,598000,Winchester,1,260,502,Rural (Incl.some Off Shore Islands),Rural area,0.38461538461538464,True
759,599200,Glenwood,7,1820,113,Timaru,Secondary urban area,0.38461538461538464,True
356,592402,St Albans East,19,4930,22,Christchurch,Main urban area,0.38539553752535494,True
543,535501,Matamata North,12,3110,232,Matamata,Minor urban area,0.3858520900321543,True
433,584303,Motueka East,16,4140,273,Motueka,Minor urban area,0.3864734299516908,True
463,571300,Cannons Creek East,15,3870,19,Porirua Zone,Main urban area,0.3875968992248062,True
542,520302,Mt Wellington West,12,3090,4,Central Auckland Zone,Main urban area,0.3883495145631068,True
575,530800,Riverlea,11,2830,6,Hamilton Zone,Main urban area,0.3886925795053004,True
574,571600,Ascot Park,11,2830,19,Porirua Zone,Main urban area,0.3886925795053004,True
412,528602,Dinsdale South,17,4360,6,Hamilton Zone,Main urban area,0.38990825688073394,True
376,525630,Papakura North East,18,4600,5,Southern Auckland Zone,Main urban area,0.391304347826087,True
301,581250,Redwoodtown,22,5620,26,Blenheim,Main urban area,0.3914590747330961,True
541,513512,Royal Road West,12,3060,3,Western Auckland Zone,Main urban area,0.39215686274509803,True
573,542906,Waiotahi,11,2800,502,Rural (Incl.some Off Shore Islands),Rural area,0.3928571428571429,True
904,584912,South Beach-Camerons,5,1270,111,Greymouth,Secondary urban area,0.39370078740157477,True
825,512904,Parrs Park,6,1520,3,Western Auckland Zone,Main urban area,0.39473684210526316,True
660,520202,Ellerslie South,9,2280,4,Central Auckland Zone,Main urban area,0.39473684210526316,True
245,584201,Richmond East,25,6330,21,Nelson,Main urban area,0.3949447077409162,True
181,513220,Sturges North,31,7830,3,Western Auckland Zone,Main urban area,0.39591315453384424,True
432,502101,Kamo West,16,4040,1,Whangarei,Main urban area,0.39603960396039606,True
431,515700,Epsom North,16,4030,4,Central Auckland Zone,Main urban area,0.39702233250620345,True
300,524812,Weymouth East,22,5540,5,Southern Auckland Zone,Main urban area,0.3971119133574007,True
411,518301,Maungawhau,17,4270,4,Central Auckland Zone,Main urban area,0.39812646370023425,True
375,524122,Viscount,18,4510,5,Southern Auckland Zone,Main urban area,0.3991130820399113,True
374,547900,Raureka,18,4510,13,Hastings Zone,Main urban area,0.3991130820399113,True
1268,585312,Franz Josef,2,500,501,Rural Centre,Rural area,0.4,True
1419,585314,Taramakau,1,250,502,Rural (Incl.some Off Shore Islands),Rural area,0.4,True
1420,535212,Kinleith,1,250,102,Tokoroa,Secondary urban area,0.4,True
1421,545303,Nuhaka,1,250,501,Rural Centre,Rural area,0.4,True
373,533502,Parawai,18,4500,226,Thames,Minor urban area,0.4,True
659,567000,Ebdentown,9,2250,17,Upper Hutt Zone,Main urban area,0.4,True
1120,501631,Okaihau,3,750,501,Rural Centre,Rural area,0.4,True
572,568201,Taita North,11,2750,18,Lower Hutt Zone,Main urban area,0.4,True
430,564800,Glendale,16,3970,18,Lower Hutt Zone,Main urban area,0.4030226700251889,True
1010,586112,Waikuku,4,990,501,Rural Centre,Rural area,0.40404040404040403,True
410,534800,Te Aroha,17,4200,230,Te Aroha,Minor urban area,0.4047619047619047,True
516,606700,Bruce,13,3210,502,Rural (Incl.some Off Shore Islands),Rural area,0.4049844236760125,True
658,536653,Rangiuru,9,2220,502,Rural (Incl.some Off Shore Islands),Rural area,0.40540540540540543,True
134,520801,Waiheke Island,36,8880,214,Waiheke Island,Minor urban area,0.40540540540540543,True
1119,538864,Mamaku,3,740,501,Rural Centre,Rural area,0.40540540540540543,True
824,540600,Fenton,6,1480,10,Rotorua,Main urban area,0.40540540540540543,True
409,524510,Harania North,17,4190,5,Southern Auckland Zone,Main urban area,0.40572792362768495,True
258,516400,Orakei North,24,5910,4,Central Auckland Zone,Main urban area,0.40609137055837563,True
299,514802,Avondale West,22,5400,4,Central Auckland Zone,Main urban area,0.4074074074074074,True
657,550101,Dannevirke West,9,2190,245,Dannevirke,Minor urban area,0.410958904109589,True
656,540510,Glenholme East,9,2180,10,Rotorua,Main urban area,0.41284403669724773,True
903,600100,Twizel Community,5,1210,287,Twizel Community,Minor urban area,0.4132231404958678,True
209,587701,Sockburn,28,6760,22,Christchurch,Main urban area,0.41420118343195267,True
462,603601,North Dunedin,15,3610,23,Dunedin,Main urban area,0.41551246537396125,True
1008,583500,Nelson Airport,4,960,21,Nelson,Main urban area,0.4166666666666667,True
1009,536651,Paengaroa,4,960,501,Rural Centre,Rural area,0.4166666666666667,True
1118,545811,Tangoio,3,720,502,Rural (Incl.some Off Shore Islands),Rural area,0.4166666666666667,True
715,500208,Motutangi-Kareponia,8,1910,502,Rural (Incl.some Off Shore Islands),Rural area,0.41884816753926707,True
515,582402,Washington,13,3100,21,Nelson,Main urban area,0.4193548387096774,True
372,534300,Paeroa,18,4280,228,Paeroa,Minor urban area,0.4205607476635514,True
714,505300,Wellsford,8,1900,210,Wellsford,Minor urban area,0.42105263157894735,True
279,523722,Redoubt North,23,5460,5,Southern Auckland Zone,Main urban area,0.42124542124542125,True
355,519900,Oranga,19,4510,4,Central Auckland Zone,Main urban area,0.42128603104212864,True
571,576200,Berhampore West,11,2610,20,Wellington Zone,Main urban area,0.42145593869731796,True
408,519710,Onehunga North West,17,4030,4,Central Auckland Zone,Main urban area,0.42183622828784123,True
1117,536505,Matapihi,3,710,9,Tauranga,Main urban area,0.42253521126760557,True
407,584500,Westport Urban,17,4020,274,Westport,Minor urban area,0.4228855721393035,True
823,605200,Port Chalmers,6,1410,23,Dunedin,Main urban area,0.425531914893617,True
1007,597400,Southbridge,4,940,501,Rural Centre,Rural area,0.425531914893617,True
1006,598700,Washdyke,4,930,113,Timaru,Secondary urban area,0.43010752688172044,True
758,557600,Wembley Park,7,1620,15,Wanganui,Main urban area,0.43209876543209874,True
1005,580420,Omaka,4,920,26,Blenheim,Main urban area,0.43478260869565216,True
1418,607100,Kaka Point,1,230,502,Rural (Incl.some Off Shore Islands),Rural area,0.43478260869565216,True
822,502600,Kensington,6,1380,1,Whangarei,Main urban area,0.43478260869565216,True
1116,569201,Melling,3,690,18,Lower Hutt Zone,Main urban area,0.43478260869565216,True
334,572600,Tawa Central,20,4600,20,Wellington Zone,Main urban area,0.43478260869565216,True
371,579200,Lansdowne,18,4130,109,Masterton,Secondary urban area,0.4358353510895884,True
655,605920,Concord,9,2060,23,Dunedin,Main urban area,0.4368932038834952,True
1004,552001,Mount Bryan,4,910,14,New Plymouth,Main urban area,0.43956043956043955,True
278,508310,Glenfield Central,23,5210,2,Northern Auckland Zone,Main urban area,0.4414587332053743,True
713,583201,Toi Toi,8,1810,21,Nelson,Main urban area,0.44198895027624313,True
461,604110,Mornington,15,3390,23,Dunedin,Main urban area,0.4424778761061947,True
277,514801,Rosebank,23,5190,4,Central Auckland Zone,Main urban area,0.4431599229287091,True
298,604210,Caversham,22,4960,23,Dunedin,Main urban area,0.4435483870967742,True
1267,598314,Pareora,2,450,501,Rural Centre,Rural area,0.4444444444444444,True
406,541740,Hilltop,17,3810,103,Taupo,Secondary urban area,0.4461942257217848,True
514,560730,Feilding Central,13,2910,106,Feilding,Secondary urban area,0.4467353951890034,True
429,523402,Otara West,16,3580,5,Southern Auckland Zone,Main urban area,0.44692737430167595,True
333,581240,Whitney,20,4470,26,Blenheim,Main urban area,0.44742729306487694,True
1115,602421,Kaikorai Hill,3,670,23,Dunedin,Main urban area,0.44776119402985076,True
297,523920,Takanini West,22,4910,5,Southern Auckland Zone,Main urban area,0.4480651731160896,True
513,519300,One Tree Hill Central,13,2900,4,Central Auckland Zone,Main urban area,0.44827586206896547,True
405,526104,Waiuku East,17,3790,215,Waiuku,Minor urban area,0.4485488126649077,True
370,501806,Marsden Point-Ruakaka,18,4010,502,Rural (Incl.some Off Shore Islands),Rural area,0.4488778054862843,True
654,539500,Sunnybrook,9,2000,10,Rotorua,Main urban area,0.44999999999999996,True
460,525540,Pahurehure,15,3330,5,Southern Auckland Zone,Main urban area,0.45045045045045046,True
512,590200,Wharenui,13,2870,22,Christchurch,Main urban area,0.45296167247386765,True
1114,582600,Maitai,3,660,21,Nelson,Main urban area,0.45454545454545453,True
902,565601,Pauatahanui,5,1100,19,Porirua Zone,Main urban area,0.45454545454545453,True
653,608700,Frankton,9,1980,117,Queenstown,Secondary urban area,0.45454545454545453,True
613,567300,Wallaceville,10,2200,17,Upper Hutt Zone,Main urban area,0.45454545454545453,True
1417,527124,Newstead,1,220,6,Hamilton Zone,Main urban area,0.45454545454545453,True
1003,521160,Bombay,4,880,501,Rural Centre,Rural area,0.45454545454545453,True
1266,585504,Culverden,2,440,501,Rural Centre,Rural area,0.45454545454545453,True
1002,590506,Highfield Park,4,880,22,Christchurch,Main urban area,0.45454545454545453,True
540,501634,Ngapuhi-Kaikou,12,2640,502,Rural (Incl.some Off Shore Islands),Rural area,0.45454545454545453,True
428,562910,Awapuni North,16,3510,16,Palmerston North,Main urban area,0.4558404558404558,True
712,542200,Edgecumbe,8,1750,238,Edgecumbe,Minor urban area,0.4571428571428572,True
711,589500,Deans Bush,8,1750,22,Christchurch,Main urban area,0.4571428571428572,True
404,533300,Whangamata,17,3710,223,Whangamata,Minor urban area,0.4582210242587601,True
369,573700,Johnsonville Central,18,3920,20,Wellington Zone,Main urban area,0.4591836734693878,True
296,595600,North Beach,22,4790,22,Christchurch,Main urban area,0.4592901878914405,True
459,524821,Clendon North,15,3260,5,Southern Auckland Zone,Main urban area,0.4601226993865031,True
612,544701,Kaiti North,10,2170,11,Gisborne,Main urban area,0.4608294930875576,True
368,592701,Shirley West,18,3900,22,Christchurch,Main urban area,0.46153846153846156,True
1113,504900,Kaiwaka,3,650,501,Rural Centre,Rural area,0.46153846153846156,True
318,518801,Walmsley,21,4550,4,Central Auckland Zone,Main urban area,0.46153846153846156,True
197,530500,University,29,6270,6,Hamilton Zone,Main urban area,0.4625199362041467,True
511,562402,Papaeoia,13,2800,16,Palmerston North,Main urban area,0.4642857142857143,True
1265,531500,Piopio,2,430,501,Rural Centre,Rural area,0.46511627906976744,True
1001,603500,Woodhaugh,4,860,23,Dunedin,Main urban area,0.46511627906976744,True
317,507101,Browns Bay,21,4510,2,Northern Auckland Zone,Main urban area,0.46563192904656325,True
757,610220,East Gore,7,1500,301,Gore,Minor urban area,0.46666666666666673,True
257,529200,Melville,24,5140,6,Hamilton Zone,Main urban area,0.4669260700389105,True
710,539800,Pomare,8,1700,10,Rotorua,Main urban area,0.4705882352941176,True
539,594100,Woolston South,12,2550,22,Christchurch,Main urban area,0.4705882352941176,True
901,550200,Papatawa,5,1060,502,Rural (Incl.some Off Shore Islands),Rural area,0.4716981132075472,True
144,608800,Wanaka,35,7400,293,Wanaka,Minor urban area,0.472972972972973,True
1000,558500,Waiouru,4,840,256,Waiouru,Minor urban area,0.4761904761904762,True
1264,550600,Urenui,2,420,501,Rural Centre,Rural area,0.4761904761904762,True
1263,558700,Hunterville,2,420,501,Rural Centre,Rural area,0.4761904761904762,True
295,544200,Mangapapa,22,4610,11,Gisborne,Main urban area,0.4772234273318872,True
367,524711,Burbank,18,3770,5,Southern Auckland Zone,Main urban area,0.47745358090185674,True
215,573300,Mt Cook-Wallace Street,27,5650,20,Wellington Zone,Main urban area,0.4778761061946903,True
233,537301,Brookfield,26,5430,9,Tauranga,Main urban area,0.4788213627992633,True
208,516500,Mission Bay,28,5840,4,Central Auckland Zone,Main urban area,0.4794520547945206,True
611,555700,Castlecliff North,10,2080,15,Wanganui,Main urban area,0.4807692307692308,True
276,559500,Marton,23,4780,259,Marton,Minor urban area,0.4811715481171548,True
999,544004,Tolaga Bay,4,830,501,Rural Centre,Rural area,0.48192771084337355,True
232,517702,Sandringham West,26,5390,4,Central Auckland Zone,Main urban area,0.48237476808905383,True
403,551400,Moturoa,17,3520,14,New Plymouth,Main urban area,0.4829545454545454,True
1112,563600,Waitarere,3,620,107,Levin,Secondary urban area,0.4838709677419355,True
427,518802,Wesley,16,3290,4,Central Auckland Zone,Main urban area,0.48632218844984804,True
214,536821,Omanu,27,5540,9,Tauranga,Main urban area,0.48736462093862815,True
610,557400,Upper Aramoho,10,2050,15,Wanganui,Main urban area,0.4878048780487805,True
402,564231,Playford Park,17,3480,107,Levin,Secondary urban area,0.4885057471264368,True
652,502900,Woodhill,9,1840,1,Whangarei,Main urban area,0.48913043478260876,True
493,581220,Mayfield,14,2860,26,Blenheim,Main urban area,0.48951048951048953,True
458,511302,New Lynn South,15,3060,3,Western Auckland Zone,Main urban area,0.49019607843137253,True
196,562500,Roslyn,29,5910,16,Palmerston North,Main urban area,0.4906937394247039,True
709,558900,Bulls,8,1630,257,Bulls,Minor urban area,0.49079754601227,True
708,571200,Cannons Creek South,8,1630,19,Porirua Zone,Main urban area,0.49079754601227,True
510,531200,Otorohanga,13,2640,218,Otorohanga,Minor urban area,0.4924242424242424,True
609,508805,Windsor Park,10,2030,2,Northern Auckland Zone,Main urban area,0.49261083743842365,True
651,501816,Waipu,9,1820,502,Rural (Incl.some Off Shore Islands),Rural area,0.49450549450549447,True
354,502102,Kamo East,19,3840,1,Whangarei,Main urban area,0.49479166666666663,True
608,565000,Fernlea,10,2010,18,Lower Hutt Zone,Main urban area,0.4975124378109453,True
998,537800,Poike,4,800,9,Tauranga,Main urban area,0.5,True
1262,569600,Haywards-Manor Park,2,400,18,Lower Hutt Zone,Main urban area,0.5,True
401,526103,Waiuku West,17,3390,215,Waiuku,Minor urban area,0.5014749262536873,True
538,541335,Oruanui,12,2390,502,Rural (Incl.some Off Shore Islands),Rural area,0.502092050209205,True
607,540200,Koutu,10,1990,10,Rotorua,Main urban area,0.5025125628140703,True
509,568402,Boulcott,13,2570,18,Lower Hutt Zone,Main urban area,0.5058365758754864,True
997,503200,Riverside,4,790,1,Whangarei,Main urban area,0.5063291139240507,True
366,525530,Rosehill,18,3550,5,Southern Auckland Zone,Main urban area,0.5070422535211268,True
492,513800,Karekare,14,2760,502,Rural (Incl.some Off Shore Islands),Rural area,0.5072463768115941,True
650,605500,St Kilda Central,9,1770,23,Dunedin,Main urban area,0.5084745762711864,True
491,534901,Morrinsville West,14,2750,231,Morrinsville,Minor urban area,0.5090909090909091,True
353,524405,Favona South,19,3730,5,Southern Auckland Zone,Main urban area,0.5093833780160858,True
707,610400,Mataura,8,1570,301,Gore,Minor urban area,0.5095541401273885,True
275,535502,Matamata South,23,4510,232,Matamata,Minor urban area,0.5099778270509978,True
606,552200,Welbourn,10,1960,14,New Plymouth,Main urban area,0.5102040816326531,True
294,571400,Waitangirua,22,4300,19,Porirua Zone,Main urban area,0.5116279069767441,True
207,562310,Takaro,28,5470,16,Palmerston North,Main urban area,0.5118829981718465,True
490,525700,Red Hill,14,2730,5,Southern Auckland Zone,Main urban area,0.5128205128205128,True
996,541317,Rangatira Park,4,780,103,Taupo,Secondary urban area,0.5128205128205128,True
457,517201,St Johns,15,2910,4,Central Auckland Zone,Main urban area,0.5154639175257731,True
570,521131,Pokeno,11,2130,502,Rural (Incl.some Off Shore Islands),Rural area,0.5164319248826291,True
569,557700,Kowhai Park,11,2130,15,Wanganui,Main urban area,0.5164319248826291,True
426,596400,Lyttelton,16,3090,22,Christchurch,Main urban area,0.517799352750809,True
167,518803,Akarana,33,6360,4,Central Auckland Zone,Main urban area,0.5188679245283019,True
706,548810,Anderson Park,8,1540,13,Hastings Zone,Main urban area,0.5194805194805194,True
213,608500,Alexandra,27,5190,291,Alexandra,Minor urban area,0.5202312138728323,True
425,565300,Homedale East,16,3070,18,Lower Hutt Zone,Main urban area,0.5211726384364821,True
400,515600,Eden Terrace,17,3260,4,Central Auckland Zone,Main urban area,0.5214723926380368,True
821,500205,Ahipara,6,1150,501,Rural Centre,Rural area,0.5217391304347827,True
231,563000,West End,26,4980,16,Palmerston North,Main urban area,0.5220883534136547,True
399,538601,Ngongotaha North,17,3250,10,Rotorua,Main urban area,0.5230769230769231,True
508,611602,Strathern,13,2480,24,Invercargill,Main urban area,0.5241935483870969,True
424,595100,Hoon Hay,16,3050,22,Christchurch,Main urban area,0.5245901639344263,True
256,532000,Te Kuiti,24,4560,219,Te Kuiti,Minor urban area,0.5263157894736842,True
1416,532300,Owhango,1,190,502,Rural (Incl.some Off Shore Islands),Rural area,0.5263157894736842,True
1111,578301,Homebush-Te Ore Ore,3,570,109,Masterton,Secondary urban area,0.5263157894736842,True
365,533603,Hikuai,18,3410,502,Rural (Incl.some Off Shore Islands),Rural area,0.5278592375366569,True
489,572000,Mana-Camborne,14,2650,19,Porirua Zone,Main urban area,0.5283018867924528,True
195,515902,Parnell West,29,5460,4,Central Auckland Zone,Main urban area,0.5311355311355311,True
352,524713,Rowandale,19,3570,5,Southern Auckland Zone,Main urban area,0.5322128851540616,True
124,500900,Kerikeri,38,7110,203,Kerikeri,Minor urban area,0.5344585091420534,True
605,612100,Bluff,10,1870,297,Bluff,Minor urban area,0.53475935828877,True
820,576600,Oriental Bay,6,1120,20,Wellington Zone,Main urban area,0.5357142857142857,True
1110,527923,Pokuru,3,560,502,Rural (Incl.some Off Shore Islands),Rural area,0.5357142857142857,True
1109,607800,Roxburgh,3,560,501,Rural Centre,Rural area,0.5357142857142857,True
604,582800,Bronte,10,1860,21,Nelson,Main urban area,0.5376344086021506,True
900,568601,Waterloo West,5,930,18,Lower Hutt Zone,Main urban area,0.5376344086021506,True
488,537400,Judea,14,2600,9,Tauranga,Main urban area,0.5384615384615384,True
756,505022,Mangawhai Heads,7,1300,303,Mangawhai Heads,Minor urban area,0.5384615384615384,True
398,577000,Lyall Bay-Airport-Moa Point,17,3150,20,Wellington Zone,Main urban area,0.5396825396825398,True
995,609031,Outer Wakatipu,4,740,502,Rural (Incl.some Off Shore Islands),Rural area,0.5405405405405406,True
1261,584937,Nelson Creek-Ngahere,2,370,502,Rural (Incl.some Off Shore Islands),Rural area,0.5405405405405406,True
1260,573522,Grenada North,2,370,20,Wellington Zone,Main urban area,0.5405405405405406,True
230,530300,Naylor,26,4800,6,Hamilton Zone,Main urban area,0.5416666666666667,True
755,598800,Waimataitai,7,1290,113,Timaru,Secondary urban area,0.5426356589147286,True
705,523813,Ardmore,8,1470,5,Southern Auckland Zone,Main urban area,0.5442176870748299,True
487,513211,Urlich,14,2570,3,Western Auckland Zone,Main urban area,0.5447470817120622,True
1108,560900,Sanson,3,550,501,Rural Centre,Rural area,0.5454545454545455,True
316,523816,Randwick Park,21,3840,5,Southern Auckland Zone,Main urban area,0.546875,True
568,553601,Eltham,11,2010,251,Eltham,Minor urban area,0.5472636815920399,True
704,586408,Kaiapoi North West,8,1460,22,Christchurch,Main urban area,0.547945205479452,True
206,529000,Swarbrick,28,5100,6,Hamilton Zone,Main urban area,0.5490196078431373,True
507,580000,Featherston,13,2360,266,Featherston,Minor urban area,0.5508474576271186,True
537,586403,Kaiapoi South,12,2170,22,Christchurch,Main urban area,0.5529953917050692,True
244,608600,Cromwell,25,4510,292,Cromwell,Minor urban area,0.5543237250554324,True
1415,506202,Orewa West,1,180,2,Northern Auckland Zone,Main urban area,0.5555555555555556,True
703,550500,Woodville,8,1440,246,Woodville,Minor urban area,0.5555555555555556,True
155,518500,Three Kings,34,6100,4,Central Auckland Zone,Main urban area,0.5573770491803279,True
506,524712,Homai West,13,2330,5,Southern Auckland Zone,Main urban area,0.5579399141630901,True
255,592600,Edgeware,24,4300,22,Christchurch,Main urban area,0.5581395348837209,True
603,557300,Lower Aramoho,10,1790,15,Wanganui,Main urban area,0.5586592178770949,True
229,533000,Whitianga,26,4650,221,Whitianga,Minor urban area,0.5591397849462365,True
994,607900,Ranfurly,4,710,501,Rural Centre,Rural area,0.5633802816901409,True
397,517002,Glen Innes East,17,3000,4,Central Auckland Zone,Main urban area,0.5666666666666667,True
567,529501,Porritt,11,1940,6,Hamilton Zone,Main urban area,0.5670103092783505,True
364,587830,Islington,18,3170,22,Christchurch,Main urban area,0.5678233438485805,True
166,528200,Ngaruawahia,33,5810,6,Hamilton Zone,Main urban area,0.5679862306368331,True
332,586306,Rangiora North,20,3520,116,Rangiora,Secondary urban area,0.5681818181818182,True
1258,584402,Karamea,2,350,501,Rural Centre,Rural area,0.5714285714285714,True
1259,531100,Kawhia Community,2,350,501,Rural Centre,Rural area,0.5714285714285714,True
1257,597715,Ashburton East,2,350,112,Ashburton,Secondary urban area,0.5714285714285714,True
293,551301,Waitara West,22,3840,247,Waitara,Minor urban area,0.5729166666666666,True
194,517100,Point England,29,5050,4,Central Auckland Zone,Main urban area,0.5742574257425742,True
899,545722,Whakatu,5,870,13,Hastings Zone,Main urban area,0.5747126436781609,True
702,553200,Opunake,8,1390,250,Opunake,Minor urban area,0.5755395683453237,True
254,504000,Sherwood Rise,24,4170,1,Whangarei,Main urban area,0.5755395683453237,True
143,522302,Papatoetoe East,35,6050,5,Southern Auckland Zone,Main urban area,0.5785123966942148,True
205,522400,Puhinui North,28,4840,5,Southern Auckland Zone,Main urban area,0.5785123966942148,True
456,593800,Bexley,15,2590,22,Christchurch,Main urban area,0.5791505791505791,True
292,515302,Ponsonby East,22,3790,4,Central Auckland Zone,Main urban area,0.5804749340369393,True
228,548000,Mayfair,26,4470,13,Hastings Zone,Main urban area,0.5816554809843401,True
112,524720,Homai East,40,6870,5,Southern Auckland Zone,Main urban area,0.5822416302765648,True
193,534400,Waihi,29,4980,229,Waihi,Minor urban area,0.5823293172690763,True
455,565100,Arakura,15,2570,18,Lower Hutt Zone,Main urban area,0.5836575875486382,True
351,503800,Raumanga West,19,3240,1,Whangarei,Main urban area,0.5864197530864198,True
1107,504400,Te Kopuru,3,510,501,Rural Centre,Rural area,0.5882352941176471,True
754,532901,Tarrangower,7,1190,220,Taumarunui,Minor urban area,0.5882352941176471,True
