,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
1321,559700,Kiwitea,2,1460,502,Rural (Incl.some Off Shore Islands),Rural area,0.136986301369863,True
1492,609914,Mill Road-Woodend,1,730,24,Invercargill,Main urban area,0.136986301369863,True
1493,575500,Mitchelltown,1,730,20,Wellington Zone,Main urban area,0.136986301369863,True
1320,591200,Rapaki Track,2,1460,22,Christchurch,Main urban area,0.136986301369863,True
877,516102,Waitaramoa,6,4360,4,Central Auckland Zone,Main urban area,0.13761467889908258,True
802,536202,Palm Springs,7,5080,9,Tauranga,Main urban area,0.1377952755905512,True
801,566101,Raumati Beach,7,5080,25,Kapiti,Main urban area,0.1377952755905512,True
1061,538000,Maungatapu,4,2900,9,Tauranga,Main urban area,0.13793103448275862,True
1181,597811,Allenton West,3,2170,112,Ashburton,Secondary urban area,0.1382488479262673,True
1491,545204,Ruakituri-Morere,1,720,502,Rural (Incl.some Off Shore Islands),Rural area,0.1388888888888889,True
1060,536203,Doncaster,4,2880,9,Tauranga,Main urban area,0.1388888888888889,True
1490,577101,Seatoun Tunnel West,1,720,20,Wellington Zone,Main urban area,0.1388888888888889,True
876,511902,Crum Park,6,4300,3,Western Auckland Zone,Main urban area,0.13953488372093023,True
646,505902,Manly,10,7160,2,Northern Auckland Zone,Main urban area,0.13966480446927373,True
1319,501819,Bream Head,2,1430,502,Rural (Incl.some Off Shore Islands),Rural area,0.13986013986013987,True
875,540000,Springfield,6,4280,10,Rotorua,Main urban area,0.14018691588785046,True
1488,584405,Orowaiti,1,710,502,Rural (Incl.some Off Shore Islands),Rural area,0.14084507042253522,True
1059,549200,Tikokino,4,2840,502,Rural (Incl.some Off Shore Islands),Rural area,0.14084507042253522,True
1489,502004,Abbey Caves,1,710,1,Whangarei,Main urban area,0.14084507042253522,True
1486,587905,Taitapu,1,710,501,Rural Centre,Rural area,0.14084507042253522,True
950,563300,Aokautere,5,3550,16,Palmerston North,Main urban area,0.14084507042253522,True
1487,610010,Charlton,1,710,301,Gore,Minor urban area,0.14084507042253522,True
1058,521121,Patumahoe,4,2830,502,Rural (Incl.some Off Shore Islands),Rural area,0.1413427561837456,True
1057,535241,Karapiro,4,2830,502,Rural (Incl.some Off Shore Islands),Rural area,0.1413427561837456,True
949,587304,Oaklands East,5,3530,22,Christchurch,Main urban area,0.141643059490085,True
1056,513012,Palm Heights,4,2820,3,Western Auckland Zone,Main urban area,0.14184397163120568,True
1055,569402,Belmont,4,2810,18,Lower Hutt Zone,Main urban area,0.1423487544483986,True
1180,535220,Okauia,3,2100,502,Rural (Incl.some Off Shore Islands),Rural area,0.14285714285714285,True
1179,595200,Hoon Hay South,3,2100,22,Christchurch,Main urban area,0.14285714285714285,True
1485,610090,Wallacetown,1,700,501,Rural Centre,Rural area,0.14285714285714285,True
800,523102,Meadowland,7,4880,5,Southern Auckland Zone,Main urban area,0.14344262295081966,True
1178,542562,Urewera,3,2090,502,Rural (Incl.some Off Shore Islands),Rural area,0.14354066985645933,True
948,568101,Tawhai,5,3460,18,Lower Hutt Zone,Main urban area,0.1445086705202312,True
1483,545812,Eskdale,1,690,12,Napier Zone,Main urban area,0.14492753623188406,True
1177,586900,Darfield,3,2070,281,Darfield,Minor urban area,0.14492753623188406,True
1484,541344,Broadlands,1,690,502,Rural (Incl.some Off Shore Islands),Rural area,0.14492753623188406,True
947,587100,Malvern,5,3450,502,Rural (Incl.some Off Shore Islands),Rural area,0.14492753623188406,True
1054,604611,Musselburgh,4,2750,23,Dunedin,Main urban area,0.14545454545454545,True
1318,531001,Te Awamutu West,2,1370,8,Te Awamutu Zone,Main urban area,0.145985401459854,True
874,527505,Leamington East,6,4100,7,Cambridge Zone,Main urban area,0.14634146341463414,True
1482,585805,Sefton,1,680,501,Rural Centre,Rural area,0.14705882352941177,True
1317,569001,Woburn North,2,1350,18,Lower Hutt Zone,Main urban area,0.14814814814814814,True
1316,598320,Pleasant Point,2,1350,284,Pleasant Point,Minor urban area,0.14814814814814814,True
873,515802,Epsom South,6,4030,4,Central Auckland Zone,Main urban area,0.1488833746898263,True
743,592300,Rutland,8,5360,22,Christchurch,Main urban area,0.1492537313432836,True
1481,557800,Bastia Hill,1,670,15,Wanganui,Main urban area,0.1492537313432836,True
1315,545841,Maraekakaho,2,1340,502,Rural (Incl.some Off Shore Islands),Rural area,0.1492537313432836,True
1313,612730,Te Waewae,2,1330,502,Rural (Incl.some Off Shore Islands),Rural area,0.15037593984962408,True
1314,533400,Tairua,2,1330,224,Tairua,Minor urban area,0.15037593984962408,True
946,607300,Clutha,5,3320,502,Rural (Incl.some Off Shore Islands),Rural area,0.15060240963855423,True
1479,598202,Otipua Creek-Washdyke Flat,1,660,113,Timaru,Secondary urban area,0.15151515151515152,True
1480,581842,Lake Rotoroa,1,660,502,Rural (Incl.some Off Shore Islands),Rural area,0.15151515151515152,True
1176,573600,Johnsonville North,3,1980,20,Wellington Zone,Main urban area,0.15151515151515152,True
1312,597513,Rolleston South East,2,1320,300,Rolleston,Minor urban area,0.15151515151515152,True
742,512300,Te Atatu Central,8,5250,3,Western Auckland Zone,Main urban area,0.1523809523809524,True
1478,527931,Pukerimu,1,650,7,Cambridge Zone,Main urban area,0.15384615384615385,True
1311,538602,Ngongotaha South,2,1300,10,Rotorua,Main urban area,0.15384615384615385,True
799,501814,Punaruku-Kiripaka,7,4540,502,Rural (Incl.some Off Shore Islands),Rural area,0.15418502202643172,True
1053,609023,Sunshine Bay,4,2590,117,Queenstown,Secondary urban area,0.15444015444015444,True
872,574001,Newlands South,6,3880,20,Wellington Zone,Main urban area,0.15463917525773196,True
1175,556600,Springvale East,3,1940,15,Wanganui,Main urban area,0.15463917525773196,True
688,508806,North Harbour West,9,5820,2,Northern Auckland Zone,Main urban area,0.15463917525773196,True
1174,587822,Templeton,3,1940,22,Christchurch,Main urban area,0.15463917525773196,True
1051,581715,Ngawhatu,4,2570,21,Nelson,Main urban area,0.1556420233463035,True
1050,597509,Rolleston North East,4,2570,300,Rolleston,Minor urban area,0.1556420233463035,True
1052,560422,Tokorangi-Hiwinui,4,2570,502,Rural (Incl.some Off Shore Islands),Rural area,0.1556420233463035,True
1310,554900,Tangiwai,2,1280,502,Rural (Incl.some Off Shore Islands),Rural area,0.15625,True
1173,604130,Kenmure,3,1900,23,Dunedin,Main urban area,0.15789473684210525,True
1172,590504,Mairehau North,3,1900,22,Christchurch,Main urban area,0.15789473684210525,True
1049,571502,Papakowhai South,4,2530,19,Porirua Zone,Main urban area,0.15810276679841898,True
945,589200,Bryndwr,5,3150,22,Christchurch,Main urban area,0.15873015873015872,True
1476,538731,Owhata South,1,630,10,Rotorua,Main urban area,0.15873015873015872,True
1477,521112,Eden Road-Hill Top,1,630,101,Pukekohe,Secondary urban area,0.15873015873015872,True
687,515100,Westmere,9,5660,4,Central Auckland Zone,Main urban area,0.1590106007067138,True
599,521602,Howick Central,11,6880,5,Southern Auckland Zone,Main urban area,0.15988372093023256,True
798,533200,Te Rerenga,7,4370,502,Rural (Incl.some Off Shore Islands),Rural area,0.16018306636155605,True
797,505904,Army Bay,7,4360,2,Northern Auckland Zone,Main urban area,0.16055045871559634,True
741,507102,Oaktree,8,4980,2,Northern Auckland Zone,Main urban area,0.1606425702811245,True
944,536515,Pacific View,5,3110,9,Tauranga,Main urban area,0.1607717041800643,True
871,512906,Oratia,6,3730,3,Western Auckland Zone,Main urban area,0.16085790884718498,True
1475,506648,Helensville South,1,620,502,Rural (Incl.some Off Shore Islands),Rural area,0.16129032258064516,True
1474,586127,Coldstream,1,620,502,Rural (Incl.some Off Shore Islands),Rural area,0.16129032258064516,True
